t	U	P	msd	sigmaxy	f2tdu2
4.37	0.134226	0.305819	1.08193	0.833652	1.33347
4.38	0.127198	0.305633	1.08595	-1.21383	3.96652
4.39	0.130124	0.305699	1.09873	2.42964	4.59558
4.4	0.140359	0.305927	1.10208	-2.03405	5.55522
4.41	0.142472	0.305998	1.10908	-0.631749	1.8565
4.42	0.152432	0.306191	1.11015	-0.605634	9.23051
4.43	0.133328	0.305802	1.10099	-0.372117	2.68545
4.44	0.126067	0.305667	1.09159	3.02832	-0.826068
4.45	0.134586	0.305844	1.09921	2.38421	1.51284
4.46	0.133529	0.305821	1.10296	3.31033	0.642638
4.47	0.144967	0.306047	1.09981	-0.100063	4.85745
4.48	0.141601	0.305978	1.09201	0.100594	2.83962
4.49	0.163978	0.306416	1.08461	2.17891	14.0603
4.5	0.15245	0.306173	1.08822	4.55171	11.844
4.51	0.138631	0.305923	1.08318	2.51845	1.73949
4.52	0.156492	0.306265	1.09028	-1.16296	10.1245
4.53	0.191694	0.306968	1.099	-2.41739	26.9387
4.54	0.1638	0.306421	1.10801	-0.939863	10.5354
4.55	0.182493	0.306781	1.11757	-2.92525	19.7122
4.56	0.193055	0.306998	1.10391	-0.279312	22.3534
4.57	0.209361	0.307353	1.12677	1.69131	23.317
4.58	0.187971	0.306958	1.11898	-0.113631	12.3056
4.59	0.193053	0.30701	1.11661	4.98585	25.679
4.6	0.167557	0.306523	1.10992	5.2201	8.39272
4.61	0.155042	0.306294	1.10824	3.16445	2.74709
4.62	0.154185	0.306276	1.10214	0.510821	1.01616
4.63	0.147436	0.306108	1.09688	1.82634	2.68009
